site_id,latitude,longitude,crabteam_habitat,crabteam_habitat_ambiguous,shorezone_unit_id,shorezone_distance_m,shorezone_accepted,substrate,shoreline_type,exposure,eelgrass,salt_marsh,source_monitoring,source_shorezone
528,48.4718416,-122.4702043,Tideflat,False,5155,58.901803435638826,True,mud and fines,Mud flat,SEMI-EXPOSED,CONTINUOUS,PATCHY,canonical_site_visit.csv,r2_shorezone_site_matches.csv
533,48.6083411,-123.1435999,Channel,False,5915,72.6602984319638,True,mud and fines,Mud flat,PROTECTED,CONTINUOUS,CONTINUOUS,canonical_site_visit.csv,r2_shorezone_site_matches.csv
536,48.46161,-122.9751923,Lagoon,False,5655,66.68084926572132,True,gravel and sand,Sand and gravel flat or fan,SEMI-PROTECTED,ABSENT,PATCHY,canonical_site_visit.csv,r2_shorezone_site_matches.csv
540,48.5358345,-122.8552321,Lagoon,False,7145,6.144044350569017,True,mud and fines,Organics/fines,SEMI-PROTECTED,PATCHY,CONTINUOUS,canonical_site_visit.csv,r2_shorezone_site_matches.csv
541,48.5512078,-122.6964201,Channel,False,5292,54.20009140094018,True,mud and fines,Mud flat,PROTECTED,PATCHY,ABSENT,canonical_site_visit.csv,r2_shorezone_site_matches.csv
552,48.1312959,-122.470491,Channel,False,4461,45.75018068313719,True,mud and fines,Organics/fines,SEMI-PROTECTED,ABSENT,CONTINUOUS,canonical_site_visit.csv,r2_shorezone_site_matches.csv
553,47.595538,-122.516886,Lagoon,False,3115,0.5978953468023575,True,mud and fines,Mud flat,SEMI-PROTECTED,ABSENT,PATCHY,canonical_site_visit.csv,r2_shorezone_site_matches.csv
579,47.4227576,-122.4306703,Channel,False,2881,39.096588609227744,True,sand,Sand beach,PROTECTED,CONTINUOUS,CONTINUOUS,canonical_site_visit.csv,r2_shorezone_site_matches.csv
581,47.392326,-122.433954,Lagoon,False,2836,2.489262305220708,True,gravel and sand,"Sand and gravel beach, narrow",PROTECTED,ABSENT,PATCHY,canonical_site_visit.csv,r2_shorezone_site_matches.csv
590,48.07932,-122.61137,Lagoon,False,3783,26.423866172884573,True,man-made,"Man-made, permeable",PROTECTED,ABSENT,ABSENT,canonical_site_visit.csv,r2_shorezone_site_matches.csv
599,48.2401754,-122.3949708,Channel,False,4559,52.39855213891419,True,mud and fines,Mud flat,SEMI-PROTECTED,ABSENT,CONTINUOUS,canonical_site_visit.csv,r2_shorezone_site_matches.csv
